|                           Parameters |                       0 |                       1 |   2 |                       3 |                       4 |   5 |   6 |   7 |   8 |                       9 |                      10 |                      11 |                      12 |                      13 |                      14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |  29 |  30 |  31 |                      32 |  33 |                      34 |                      35 |  36 |
|         rtyw6wop-bkg.spectral.norm15 |   0.0002776552695755888 |  -8.125781694344096e-17 | 0.0 |   7.378381485492951e-06 |  1.1641266734700413e-06 | 0.0 | 0.0 | 0.0 | 0.0 | -2.6745306848293955e-06 |  -6.619440423879947e-06 |   5.872872911603117e-06 |  1.3724838772334093e-05 | -2.4266789170008904e-05 |  -1.528912088210436e-05 |   9.638388316538008e-05 |   5.689905788612142e-07 | -0.00033829967377536105 |   8.739528227026845e-05 |   0.0018537869468268648 |   0.0033134448113055805 |    0.002569431725634716 |  0.00046602835605761786 |   -0.000728650260879881 | -0.00046748856287179746 |    0.000132139873128486 |   0.0002873076943804238 |  0.00012651478889030536 |  -1.838113896512359e-05 | 0.0 | 0.0 | 0.0 |  1.3089109086471572e-06 | 0.0 |  1.2944919708241672e-06 |  1.0108986960203725e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm16 |  0.00029027135643738627 |  -6.864602487429927e-17 | 0.0 |  1.0146887478943945e-05 |  1.6356087601986503e-06 | 0.0 | 0.0 | 0.0 | 0.0 |  2.8270636141748716e-06 |  -9.134268866624103e-07 |  -6.651780394022502e-06 |   8.901895267728976e-06 |  1.1367919801932341e-05 |  -3.482503431344378e-05 | -3.3705856513366135e-06 |  0.00012707001629669925 | -3.8232093723699966e-05 |  -0.0004404880761718448 |  0.00021831440475203245 |    0.002569431725634716 |    0.004518704888194879 |     0.00367167596897437 |   0.0009374467539932271 |  -0.0008740466003339708 |  -0.0008154069324599994 |  -6.551811292597706e-05 |  0.00030390356201051246 |  0.00024245803400058723 | 0.0 | 0.0 | 0.0 |   2.678932378899942e-06 | 0.0 |   1.878980229714568e-06 |  1.1148695124525445e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm17 |   0.0002944826488512928 |   -6.84813815042297e-17 | 0.0 |   1.562459171022622e-05 |  2.5641803677349556e-06 | 0.0 | 0.0 | 0.0 | 0.0 |  1.5185991411365272e-06 |  2.9685448114117297e-06 |  -3.987990219467687e-06 |  -5.999566725176154e-06 |  1.4093168429391865e-05 |   4.254754372498961e-06 | -4.8866367624156054e-05 |   1.797765724557281e-05 |  0.00016046982839793152 | -0.00011130855057911225 |  -0.0005715224826141739 |  0.00046602835605761786 |     0.00367167596897437 |     0.00634379245239104 |    0.005422181526356335 |   0.0018552988313767244 |  -0.0008784447718532982 |  -0.0012676119230098817 | -0.00046713050213216935 |  0.00014195833059057656 | 0.0 | 0.0 | 0.0 |   3.592247615627118e-06 | 0.0 |  3.0735382099266294e-06 |  1.1498833735951476e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm18 |  0.00029403370430063574 |  -7.876289803618976e-17 | 0.0 |   2.317282642916817e-05 |  3.8430582715593615e-06 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3199854303509083e-06 |   7.527160175801232e-07 |   2.416421371358228e-06 |   -5.78041153206915e-06 |  -2.763388101670976e-06 |   1.929320639909883e-05 |  -7.625278532315964e-06 |  -6.008732600546117e-05 |   5.639695680123083e-05 |  0.00018988758571945587 | -0.00024224448930093182 |   -0.000728650260879881 |   0.0009374467539932271 |    0.005422181526356335 |    0.009179104838679352 |     0.00825206384782307 |   0.0035960768838153617 | -0.00048317997194725416 |  -0.0017055611376096803 |  -0.0010796083782165726 | 0.0 | 0.0 | 0.0 |  4.4132941150370624e-06 | 0.0 |  4.7281047396038956e-06 |   1.108441328065597e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm19 |   0.0002953435824334173 |  -8.568388978454367e-17 | 0.0 |  2.8916090525440187e-05 |   4.819167417752631e-06 | 0.0 | 0.0 | 0.0 | 0.0 | -1.3428356445400644e-06 | -1.5605110909635895e-06 |   2.611693661537795e-06 |  1.2648413891964755e-06 |  -7.858496562475232e-06 |   4.295191410930022e-06 |   2.328909014341276e-05 | -2.7061043245878325e-05 |  -6.218953523957198e-05 |  0.00011947702107149312 |  0.00019581972188159483 | -0.00046748856287179746 |  -0.0008740466003339708 |   0.0018552988313767244 |     0.00825206384782307 |     0.01358509139071859 |    0.012751683797879146 |     0.00672088528283398 |   0.0008116384992212728 |   -0.001719983031617991 | 0.0 | 0.0 | 0.0 |   5.235045346052289e-06 | 0.0 |   5.982411226260637e-06 |   1.040807339708112e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm20 |  0.00029922473155393484 |  -7.446644741933813e-17 | 0.0 |  2.8827046658603766e-05 |   4.810674526991312e-06 | 0.0 | 0.0 | 0.0 | 0.0 |  -7.492785937108692e-08 | -1.2960768971267808e-06 |  -2.384297776699465e-07 |   3.341006515529739e-06 |  -1.852902570855745e-06 |  -7.215603488437201e-06 |  1.4306430761987732e-05 |  1.8815374238696888e-05 |  -5.326085129069415e-05 |   -4.00668183482249e-05 |  0.00020530851014326684 |    0.000132139873128486 |  -0.0008154069324599994 |  -0.0008784447718532982 |   0.0035960768838153617 |    0.012751683797879146 |     0.02028565108049215 |    0.019741534204553407 |    0.012134667639756026 |    0.003946123512373252 | 0.0 | 0.0 | 0.0 |   5.600793294017758e-06 | 0.0 |   5.950859736635646e-06 |  1.0071984925347285e-07 | 0.0 |
|         rtyw6wop-bkg.spectral.norm21 |   0.0002936034655715597 | -4.6409958090374485e-17 | 0.0 |  2.2927379652293597e-05 |   3.818009816176526e-06 | 0.0 | 0.0 | 0.0 | 0.0 |   4.334116082884386e-07 |  -2.305862015914422e-07 | -1.5037610473627018e-06 |  1.1239949027621106e-06 |   2.690738178631247e-06 |  -5.460842510303403e-06 | -2.5886633563107624e-06 |  2.3031151718120923e-05 |  1.2199340591081919e-06 |  -7.536126713019391e-05 |  2.1324699828755477e-05 |   0.0002873076943804238 |  -6.551811292597706e-05 |  -0.0012676119230098817 | -0.00048317997194725416 |     0.00672088528283398 |    0.019741534204553407 |    0.030291794267970917 |    0.030352133925410706 |    0.020978767128250794 | 0.0 | 0.0 | 0.0 |   4.976410644331182e-06 | 0.0 |  4.6528211508699465e-06 |   9.897430311363483e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm22 |    0.000262420581453157 | -1.7236956678764514e-17 | 0.0 |  1.4995854854372717e-05 |   2.479951361771127e-06 | 0.0 | 0.0 | 0.0 | 0.0 |   1.820961513117985e-07 |  1.7288392571810812e-07 | -1.0114455928801136e-06 |  -7.844311988269315e-07 |  2.4752491335056205e-06 | -1.5156960097600732e-07 |  -7.267696238254221e-06 |   6.839313519063642e-06 |  2.3833615492205366e-05 | -2.9346823015746076e-05 |  -7.293811037536756e-05 |  0.00012651478889030536 |  0.00030390356201051246 | -0.00046713050213216935 |  -0.0017055611376096803 |   0.0008116384992212728 |    0.012134667639756026 |    0.030352133925410706 |     0.04465124954108617 |    0.045222532828830625 | 0.0 | 0.0 | 0.0 |  3.3762157749940497e-06 | 0.0 |  2.9408144453514057e-06 |    9.06386509723828e-08 | 0.0 |
|         rtyw6wop-bkg.spectral.norm23 |  0.00020335280117327333 |  1.0710607658627631e-19 | 0.0 |   8.551932771722187e-06 |   1.395977655615903e-06 | 0.0 | 0.0 | 0.0 | 0.0 | -1.1398237861261086e-07 |   4.916113058226255e-08 | -2.7753683640832244e-07 | -1.0341160124109821e-06 |   7.326490448936026e-07 |  2.0473888361126455e-06 |   -3.92560355808804e-06 |  -3.563838923889754e-06 |  1.6638199857745302e-05 |   8.083508312271178e-06 | -5.9022041407945634e-05 |  -1.838113896512359e-05 |  0.00024245803400058723 |  0.00014195833059057656 |  -0.0010796083782165726 |   -0.001719983031617991 |    0.003946123512373252 |    0.020978767128250794 |    0.045222532828830625 |      0.0627947166179914 | 0.0 | 0.0 | 0.0 |  1.4971932884991896e-06 | 0.0 |  1.5960318000091719e-06 |   7.164930358025505e-08 | 0.0 |
|           rtyw6wop-bkg.spectral.norm |                     0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 | 0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 |                     0.0 | 0.0 | 0.0 | 0.0 |                     0.0 | 0.0 |                     0.0 |                     0.0 | 0.0 |
