|                           Parameters |                      0 |                      1 |   2 |                      3 |                      4 |                      5 |   6 |                      7 |                      8 |   9 |  10 |  11 |  12 |  13 |  14 |                      15 |                      16 |                      17 |                      18 |                      19 |                      20 |                      21 |                      22 |                      23 |                      24 |                      25 |                      26 |                      27 |                      28 |                      29 |                      30 |                      31 |                      32 |                      33 |                      34 |
|         UpHNLZmq-bkg.spectral.norm12 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -3.721882678621998e-09 |  -1.978798775761864e-09 |   4.614439093528612e-09 |  -4.067888508711561e-09 |   7.624588289263187e-11 |   6.923627605507358e-09 | -1.5289945238567275e-08 |  2.2327177729588605e-08 |   7.594754378552696e-08 |  2.2876366887940936e-08 | -1.6051992257543744e-08 |   7.454955394791947e-09 |   5.876183188926154e-11 |  -4.563466401826756e-09 |  5.4436443193467244e-09 | -3.1483995537323484e-09 |  -1.252173663988328e-09 |  6.1609244517693505e-09 |   -7.63617506450537e-09 |  -1.870108880699315e-08 |
|         UpHNLZmq-bkg.spectral.norm13 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  3.2395156861662396e-09 |  -4.187430020812549e-10 |  -2.282809896683076e-09 |   3.937957397876449e-09 | -3.4248563891162195e-09 | -1.4740059603595517e-10 |   6.819256076209776e-09 |  -1.527128639432992e-08 |  2.2876366887940936e-08 |   7.975962907005353e-08 |  2.4773426217826245e-08 | -1.7844226299478504e-08 |   8.397292713055512e-09 |   4.195366304414652e-10 |  -6.111870410430134e-09 |   7.352539176724836e-09 |  -3.798935959036427e-09 |  -4.281528118587974e-09 |  1.4568335817735156e-08 |   6.157781791522473e-09 |
|         UpHNLZmq-bkg.spectral.norm14 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -1.4975110305906162e-09 |   1.534745916990558e-09 | -2.4053303385283085e-11 | -2.0647948162257637e-09 |  3.5962694351916607e-09 | -3.2393483012735854e-09 |  -1.657293076179522e-10 |   6.962493028745077e-09 | -1.6051992257543744e-08 |  2.4773426217826245e-08 |   8.821063172871854e-08 |  2.8506377407935294e-08 |  -2.111473963549926e-08 |   1.000531222735474e-08 |   1.234981000219373e-09 |  -9.177355018987818e-09 |  1.1028053590381766e-08 |  -4.049206099942691e-09 | -1.5175267875977116e-08 |   2.703152342528477e-08 |
|         UpHNLZmq-bkg.spectral.norm15 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -2.0547066870018222e-10 | -1.4753371900004521e-09 |  1.3473649737035314e-09 |   3.521794008277657e-11 | -2.0312290365071704e-09 |   3.610257945691218e-09 | -3.3667935376047163e-09 |  -9.789364603157192e-11 |   7.454955394791947e-09 | -1.7844226299478504e-08 |  2.8506377407935294e-08 |  1.0353878930652256e-07 |   3.520796707353578e-08 | -2.6940557464568902e-08 |  1.2764366785713589e-08 |  3.2212073487207357e-09 | -1.6014969228467402e-08 |  1.9151779885653448e-08 |   2.789218833710353e-10 |  -7.512977998757922e-08 |
|         UpHNLZmq-bkg.spectral.norm16 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.1696994888885633e-09 |   7.461298512160213e-10 |  -1.536287842318969e-09 |  1.2367317105390224e-09 |  1.1453608093763525e-10 |  -2.136446046196541e-09 |   3.868107530009222e-09 |    -3.7615850726762e-09 |   5.876183188926154e-11 |   8.397292713055512e-09 |  -2.111473963549926e-08 |   3.520796707353578e-08 |  1.3056422963549254e-07 |   4.748954241971684e-08 | -3.7805737500221766e-08 |   1.758003695572775e-08 |   9.126153398693327e-09 |  -3.468865272099197e-08 |   3.790622418472635e-08 |  1.0752687330449403e-07 |
|         UpHNLZmq-bkg.spectral.norm17 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -1.255549446549326e-09 |  1.0766618489842636e-10 |   9.196673437612861e-10 | -1.4939749313561004e-09 |  1.2272167954840402e-09 |  1.1748892202911997e-10 |  -2.321306896214928e-09 |   4.412019122903391e-09 |  -4.563466401826756e-09 |   4.195366304414652e-10 |   1.000531222735474e-08 | -2.6940557464568902e-08 |   4.748954241971684e-08 |  1.8014716980355401e-07 |   7.169324720522294e-08 |  -5.981179956311827e-08 |   2.573215220255638e-08 |  3.0651405584117746e-08 |  -9.430268428128422e-08 | -5.2458093894998185e-08 |
|         UpHNLZmq-bkg.spectral.norm18 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   6.803917055451845e-10 |  -6.920873481444448e-10 |  1.0549983084317573e-11 |   9.243619856774669e-10 | -1.6021307155025293e-09 |  1.4435189746191527e-09 |  -6.013560088386027e-12 | -2.6362877367163052e-09 |  5.4436443193467244e-09 |  -6.111870410430134e-09 |   1.234981000219373e-09 |  1.2764366785713589e-08 | -3.7805737500221766e-08 |   7.169324720522294e-08 |   2.796125649719846e-07 |   1.254209340250899e-07 | -1.1080370723128809e-07 |   3.799569603523658e-08 |  1.2305974843528222e-07 | -2.1257024057680556e-07 |
|         UpHNLZmq-bkg.spectral.norm19 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  1.9028412619708548e-10 |   8.063368372081637e-10 |  -7.999108323278404e-10 |    7.75467411034848e-11 |  1.0288324872269837e-09 | -1.9683121736879833e-09 |  1.9785725510754805e-09 |  -3.312275468343012e-10 | -3.1483995537323484e-09 |   7.352539176724836e-09 |  -9.177355018987818e-09 |  3.2212073487207357e-09 |   1.758003695572775e-08 |  -5.981179956311827e-08 |   1.254209340250899e-07 |   5.084927630827695e-07 |  2.7030641449619434e-07 |  -2.602401848351599e-07 |   3.284869302159827e-08 |   8.121749331707361e-07 |
|         UpHNLZmq-bkg.spectral.norm20 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -9.641162032101808e-10 | -3.9563953098057507e-10 |  1.0899693792411776e-09 |  -1.060387135577601e-09 |   2.373975381286689e-10 |  1.2171512294552126e-09 | -2.7082688951667666e-09 |   3.155033559801604e-09 |  -1.252173663988328e-09 |  -3.798935959036427e-09 |  1.1028053590381766e-08 | -1.6014969228467402e-08 |   9.126153398693327e-09 |   2.573215220255638e-08 | -1.1080370723128809e-07 |  2.7030641449619434e-07 |  1.1474064379866364e-06 |   7.990451256786016e-07 |  -8.363004750401235e-07 | -1.4765483388139593e-06 |
|         UpHNLZmq-bkg.spectral.norm21 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |   1.192210884741955e-09 |  -5.085338363533664e-10 |  -5.465474201692033e-10 |  1.4913791155804074e-09 |  -1.766763472195124e-09 |   8.625910208875743e-10 |   1.366696280692193e-09 | -4.2855070005543495e-09 |  6.1609244517693505e-09 |  -4.281528118587974e-09 |  -4.049206099942691e-09 |  1.9151779885653448e-08 |  -3.468865272099197e-08 |  3.0651405584117746e-08 |   3.799569603523658e-08 |  -2.602401848351599e-07 |   7.990451256786016e-07 |   3.538808936467325e-06 |  3.6476790746261496e-06 | -1.0662309173390015e-06 |
|         UpHNLZmq-bkg.spectral.norm22 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | -4.1584507122027575e-11 |  1.6296725637143543e-09 | -1.2757142204546339e-09 |  -3.426488870204251e-10 |  2.4409590296080142e-09 |  -3.854260971743496e-09 |  3.1549841823380407e-09 |   7.629159781983747e-10 |   -7.63617506450537e-09 |  1.4568335817735156e-08 | -1.5175267875977116e-08 |   2.789218833710353e-10 |   3.790622418472635e-08 |  -9.430268428128422e-08 |  1.2305974843528222e-07 |   3.284869302159827e-08 |  -8.363004750401235e-07 |  3.6476790746261496e-06 |  1.8459754409729708e-05 |  3.3498797703250565e-05 |
|         UpHNLZmq-bkg.spectral.norm23 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 |                    0.0 | 0.0 |                    0.0 |                    0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0 |  -4.690821559030141e-09 |   7.955147101555056e-10 |  3.1180719042895717e-09 |  -5.650532644732887e-09 |   5.173289996611221e-09 |  -5.377396085033567e-10 |  -7.765312142696301e-09 |  1.6395252901403856e-08 |  -1.870108880699315e-08 |   6.157781791522473e-09 |   2.703152342528477e-08 |  -7.512977998757922e-08 |  1.0752687330449403e-07 | -5.2458093894998185e-08 | -2.1257024057680556e-07 |   8.121749331707361e-07 | -1.4765483388139593e-06 | -1.0662309173390015e-06 |  3.3498797703250565e-05 |   0.0001111850332014154 |
